Address,Price,zipcode
"Pittsburgh, PA 15213",1820.0,15213
"Pittsburgh, PA 15203",2600.0,15203
"Pittsburgh, PA 15218",972.0,15218
"Pittsburgh, PA 15221",975.0,15221
"Pittsburgh, PA 15210",1598.0,15210
"510 Protectory Pl, Pittsburgh, PA 15219",1916.0,15219
"Pittsburgh, PA 15219",1250.0,15219
"Pittsburgh, PA 15223",1600.0,15223
"Pittsburgh, PA 15219",1950.0,15219
"Pittsburgh, PA 15203",1900.0,15203
"Pittsburgh, PA 15207",1400.0,15207
"Pittsburgh, PA 15203",1600.0,15203
"Pittsburgh, PA 15211",2430.0,15211
"Pittsburgh, PA 15214",1650.0,15214
"1303 Lebanon Church Rd, West Mifflin, PA 15236",1709.0,15236
"Pittsburgh, PA 15203",1425.0,15203
"Pittsburgh, PA 15208",1400.0,15208
"Pittsburgh, PA 15219",1610.0,15219
"Pittsburgh, PA 15206",1250.0,15206
"Pittsburgh, PA 15226",1050.0,15226
"Pittsburgh, PA 15211",1250.0,15211
"200 Chauvet Dr, Pittsburgh, PA 15275",1769.0,15275
"Pittsburgh, PA 15216",1500.0,15216
